id,date,description,files_changed,change_type,details
11,2026-03-14,Extended DB schema with new tables and columns,"src/database/schema.sql,src/database/schema.prisma",feature,"Added phone/location/bio/farm_name/business_name/is_active/timestamps to user table. Added description/location/is_available/timestamps to harvest. Added timestamps to chat_room/message. Created order table (buyer_id/harvest_id/quantity/prices/status enum/note/timestamps). Created payment table (order_id/amount/method enum/status enum/transaction_ref). Created review table (reviewer_id/reviewee_id/order_id/rating CHECK 1-5/comment/unique constraint). Revert: restore original schema.sql, revert schema.prisma, run db:sync."
12,2026-03-14,Account System module,"src/features/account/account.module.ts,src/features/account/account.controller.ts,src/features/account/account.service.ts,src/features/account/dtos/update-profile.dto.ts,src/features/account/dtos/change-password.dto.ts",feature,"6 endpoints: GET/PATCH /account/profile, PATCH /account/profile/photo (multer upload), GET /account/profile/:id (public), PATCH /account/deactivate, PATCH /account/change-password. Revert: delete src/features/account/, remove AccountModule from app.module.ts."
13,2026-03-14,Product Listing System (Harvest module),"src/features/harvest/harvest.module.ts,src/features/harvest/harvest.controller.ts,src/features/harvest/harvest.service.ts,src/features/harvest/dtos/create-harvest.dto.ts,src/features/harvest/dtos/update-harvest.dto.ts",feature,"9 endpoints: POST /harvests (farmer), GET /harvests/mine, GET /harvests/:id, PATCH /harvests/:id (owner), DELETE /harvests/:id (owner), POST /harvests/:id/images (up to 5), DELETE /harvests/:id/images/:imageId, POST /harvests/categories (admin), GET /harvests/categories (public). Revert: delete src/features/harvest/, remove HarvestModule from app.module.ts."
14,2026-03-14,Marketplace Discovery System,"src/features/marketplace/marketplace.module.ts,src/features/marketplace/marketplace.controller.ts,src/features/marketplace/marketplace.service.ts,src/features/marketplace/dtos/search-query.dto.ts",feature,"3 endpoints: GET /marketplace (search/filter/sort/paginate by category/location/price/quantity), GET /marketplace/trending (most ordered), GET /marketplace/:id (detail + farmer profile + rating). Revert: delete src/features/marketplace/, remove MarketplaceModule from app.module.ts."
15,2026-03-14,Order/Transaction System,"src/features/order/order.module.ts,src/features/order/order.controller.ts,src/features/order/order.service.ts,src/features/order/dtos/create-order.dto.ts",feature,"8 endpoints: POST /orders (wholesaler places order), GET /orders (role-aware list), GET /orders/history, GET /orders/:id, PATCH /orders/:id/accept (farmer deducts quantity), PATCH /orders/:id/reject, PATCH /orders/:id/complete, PATCH /orders/:id/cancel (buyer, pending only). Status transitions enforced. Revert: delete src/features/order/, remove OrderModule from app.module.ts."
16,2026-03-14,Payment System,"src/features/payment/payment.module.ts,src/features/payment/payment.controller.ts,src/features/payment/payment.service.ts,src/features/payment/dtos/create-payment.dto.ts",feature,"5 endpoints: POST /payments (initiate, generates UUID transaction_ref), GET /payments (history), GET /payments/:id, POST /payments/:id/confirm (admin), POST /payments/:id/refund (admin). Simulated - no real gateway. Revert: delete src/features/payment/, remove PaymentModule from app.module.ts."
17,2026-03-14,Review & Rating System,"src/features/review/review.module.ts,src/features/review/review.controller.ts,src/features/review/review.service.ts,src/features/review/dtos/create-review.dto.ts",feature,"4 endpoints: POST /reviews (completed orders only, auto-determines reviewee), GET /reviews/my-reviews, GET /reviews/user/:userId (with avg rating), GET /reviews/order/:orderId. One review per reviewer per order. Revert: delete src/features/review/, remove ReviewModule from app.module.ts."
18,2026-03-14,Chat System with WebSocket,"src/features/chat/chat.module.ts,src/features/chat/chat.controller.ts,src/features/chat/chat.service.ts,src/features/chat/chat.gateway.ts,src/features/chat/dtos/send-message.dto.ts,package.json",feature,"REST: GET /chat/rooms, POST /chat/rooms, GET /chat/rooms/:id/messages. WebSocket (/chat namespace): authenticate, send_message, mark_read, typing events. Server emits: new_message, message_delivered, message_read, user_typing. Installed @nestjs/websockets, @nestjs/platform-socket.io, socket.io. Revert: delete src/features/chat/, remove ChatModule from app.module.ts, npm uninstall websocket packages."
19,2026-03-14,Call System with WebRTC signaling,"src/features/call/call.module.ts,src/features/call/call.gateway.ts",feature,"WebSocket gateway on /calls namespace. Events: authenticate, call_initiate, call_accept, call_reject, call_end, webrtc_offer, webrtc_answer, webrtc_ice_candidate. Pure signaling relay, no media server. Tracks active calls in memory. Revert: delete src/features/call/, remove CallModule from app.module.ts."
20,2026-03-14,Analytics System,"src/features/analytics/analytics.module.ts,src/features/analytics/analytics.controller.ts,src/features/analytics/analytics.service.ts",feature,"4 endpoints: GET /analytics/sales (farmer revenue/orders by category), GET /analytics/demand (top ordered harvests), GET /analytics/popular (top 10 products by order count), GET /analytics/platform (admin: user/harvest/order/revenue totals). All read-only aggregation queries. Revert: delete src/features/analytics/, remove AnalyticsModule from app.module.ts."
21,2026-03-14,Admin/Moderation System,"src/features/admin/admin.module.ts,src/features/admin/admin.controller.ts,src/features/admin/admin.service.ts",feature,"7 endpoints: GET /admin/users (paginated/filterable), PATCH /admin/users/:id/verify, PATCH /admin/users/:id/deactivate, GET /admin/harvests (paginated), DELETE /admin/harvests/:id, GET /admin/orders (paginated/filterable by status), PATCH /admin/orders/:id/resolve. All admin-only. Revert: delete src/features/admin/, remove AdminModule from app.module.ts."
22,2026-03-14,Prisma client output changed to src/generated/prisma,"src/database/schema.prisma,src/database/prisma.service.ts,src/types/augmented.d.ts,all feature files",refactor,"Changed Prisma generator output from node_modules/@prisma/client to src/generated/prisma due to root-owned node_modules/.prisma permissions. Updated all imports across codebase. Added src/generated to .gitignore. Revert: change output back to default in schema.prisma, update all imports back to @prisma/client, run npx prisma generate."
23,2026-03-23,Bug audit and unit test suite,"BUGS.md,BUG-FIXES.md,jest.config.ts,package.json,src/**/*.spec.ts,src/common/guards/roles.guard.spec.ts,src/utils/*.spec.ts",docs/test,"Created BUGS.md documenting 21 bugs (7 critical, 8 high, 6 medium) found via code review. Created BUG-FIXES.md with step-by-step fix instructions for each bug. Set up Jest testing infrastructure (jest.config.ts, @nestjs/testing, ts-jest). Wrote 176 unit tests across 13 test suites covering all services (auth, account, harvest, order, payment, review, chat, marketplace, analytics, admin) and utilities (bcrypt, authToken, roles guard). Tests include bug-documenting tests for BUG-08 and BUG-16. Revert: delete BUGS.md, BUG-FIXES.md, jest.config.ts, all *.spec.ts files, npm uninstall jest ts-jest @types/jest @nestjs/testing, remove test scripts from package.json."
24,2026-03-23,Remove .js extensions from all relative imports,"src/database/prisma.service.ts,src/common/guards/roles.guard.ts,src/features/account/*.ts,src/features/admin/*.ts,src/features/analytics/*.ts,src/features/call/*.ts,src/features/chat/*.ts,src/features/harvest/*.ts,src/features/marketplace/*.ts,src/features/order/*.ts,src/features/payment/*.ts,src/features/review/*.ts",fix,"Removed .js extensions from 93 relative import paths across 32 files. The project uses CommonJS with ts-node so .js extensions caused MODULE_NOT_FOUND errors at runtime. Changed patterns like from '../../database/prisma.service.js' to from '../../database/prisma.service'. Only relative imports were modified; node_modules imports were left untouched. Revert: add .js back to all relative import paths (find with grep for relative imports without .js extension)."
